Order_ID,Date,Item_Name,Category,Weight_kg,Volumetric_Weight_kg,L_cm,W_cm,H_cm,Fragility,Moisture_Sens,Shipping_Mode,Distance_km,Packaging_Used,Cost_USD,CO2_Emission_kg
726,2025-01-10,Sneakers,Clothing,0.85,1.19,30,18,11,5,False,Air,2858,Kraft Paper Mailer,1.48,8.503
727,2025-05-14,T-Shirt,Clothing,0.26,0.17,24,18,2,1,False,Air,2294,Kraft Paper Mailer,0.3,1.491
728,2025-04-07,55-Inch TV,Electronics,16.22,8.89,117,76,5,10,True,Road,1927,Mushroom Pkg (Mycelium),8.49,15.628
729,2025-09-04,Sofa (Sectional),Furniture,46.26,255.39,181,85,83,7,False,Road,2694,Wood Crate,103.56,344.01
730,2025-09-28,Smart Watch,Electronics,0.14,0.0,4,5,1,4,True,Air,1422,Corrugated Cardboard,0.86,0.498
731,2025-10-21,Laptop,Electronics,2.1,0.21,29,18,2,8,True,Road,643,Mushroom Pkg (Mycelium),2.44,0.675
732,2025-02-12,Office Chair,Furniture,14.28,37.46,62,57,53,4,False,Road,222,Wood Crate,15.78,4.158
733,2025-08-31,Sneakers,Clothing,0.99,1.3,27,20,12,3,False,Air,895,Kraft Paper Mailer,1.12,2.909
734,2025-12-25,Laptop,Electronics,2.32,0.12,32,19,1,9,True,Air,1167,Mushroom Pkg (Mycelium),2.73,6.769
735,2025-05-23,Smartphone,Electronics,0.23,0.0,14,6,0,9,True,Road,74,Mushroom Pkg (Mycelium),1.89,0.009
736,2025-12-04,Sneakers,Clothing,0.84,1.46,32,19,12,4,False,Air,1716,Kraft Paper Mailer,1.38,6.263
737,2025-08-11,Office Chair,Furniture,11.93,37.27,58,63,51,4,False,Road,2864,Wood Crate,15.71,53.371
738,2025-03-22,Ceramic Vase,Home Decor,1.31,1.18,15,14,28,9,False,Air,1631,Mushroom Pkg (Mycelium),2.32,5.342
739,2025-03-30,Sneakers,Clothing,1.05,1.3,31,19,11,3,False,Air,2737,Cornstarch Foam,1.12,8.895
740,2025-10-04,Shampoo,Beauty,0.65,0.21,19,8,7,3,True,Air,2013,PLA Bioplastic,0.86,3.271
741,2025-12-02,55-Inch TV,Electronics,15.6,6.36,112,71,4,10,True,Road,2628,Mushroom Pkg (Mycelium),8.24,20.498
742,2025-03-21,Office Chair,Furniture,13.73,39.51,63,64,49,6,False,Road,1244,Wood Crate,17.0,24.575
743,2025-11-09,Smartphone,Electronics,0.39,0.0,15,6,0,7,True,Air,2679,Honeycomb Paper,1.56,2.612
744,2025-04-26,Sofa (Sectional),Furniture,58.01,283.49,201,86,82,7,False,Road,2601,Wood Crate,114.8,368.679
745,2025-10-11,Sofa (Sectional),Furniture,41.83,273.6,190,96,75,6,False,Road,170,Wood Crate,110.64,23.256
746,2025-10-01,Winter Jacket,Clothing,1.06,3.63,53,38,9,4,True,Air,1163,Kraft Paper Mailer,2.25,10.554
747,2025-10-06,55-Inch TV,Electronics,22.01,8.39,115,73,5,9,True,Road,346,Mushroom Pkg (Mycelium),10.6,3.808
748,2025-11-28,Winter Jacket,Clothing,1.14,3.74,52,36,10,4,True,Air,1672,Kraft Paper Mailer,2.3,15.633
749,2025-09-23,Smart Watch,Electronics,0.11,0.0,4,4,0,6,True,Air,2284,Honeycomb Paper,1.24,0.628
750,2025-07-18,Glass Table,Furniture,16.68,5.89,109,54,5,10,False,Road,1746,Mushroom Pkg (Mycelium),8.67,14.562
751,2025-10-21,Winter Jacket,Clothing,1.99,4.3,50,43,10,3,True,Air,982,Kraft Paper Mailer,2.32,10.556
752,2025-12-07,Sneakers,Clothing,0.84,1.07,27,18,11,5,False,Road,369,Kraft Paper Mailer,1.43,0.197
753,2025-10-28,Smart Watch,Electronics,0.12,0.0,4,4,1,6,True,Road,545,Honeycomb Paper,1.25,0.033
754,2025-06-11,55-Inch TV,Electronics,19.43,6.63,112,74,4,9,True,Road,414,Mushroom Pkg (Mycelium),9.57,4.022
755,2025-06-12,55-Inch TV,Electronics,18.87,6.34,120,66,4,9,True,Road,2994,Mushroom Pkg (Mycelium),9.35,28.248
756,2025-04-26,Shampoo,Beauty,0.88,0.24,21,8,7,3,True,Air,1674,PLA Bioplastic,0.95,3.683
757,2025-06-12,Laptop,Electronics,2.38,0.24,32,19,2,9,True,Road,419,Mushroom Pkg (Mycelium),2.75,0.499
758,2025-04-09,Sneakers,Clothing,1.03,1.23,31,18,11,5,False,Air,1313,Kraft Paper Mailer,1.49,4.037
759,2025-11-01,T-Shirt,Clothing,0.2,0.19,24,20,2,2,False,Air,1985,Kraft Paper Mailer,0.48,0.993
760,2025-09-26,Glass Table,Furniture,16.24,5.89,95,62,5,9,False,Road,408,Mushroom Pkg (Mycelium),8.3,3.313
761,2025-12-03,Smart Watch,Electronics,0.1,0.0,5,5,0,4,True,Air,1843,Corrugated Cardboard,0.84,0.461
762,2025-03-06,T-Shirt,Clothing,0.23,0.11,26,21,1,2,False,Air,1819,Kraft Paper Mailer,0.49,1.046
763,2025-06-18,Laptop,Electronics,1.97,0.24,32,19,2,7,True,Air,2284,Honeycomb Paper,2.19,11.249
764,2025-07-28,Glass Table,Furniture,15.37,5.27,103,64,4,9,False,Road,930,Mushroom Pkg (Mycelium),7.95,7.147
765,2025-03-23,Glass Table,Furniture,16.77,5.88,105,56,5,9,False,Road,2535,Mushroom Pkg (Mycelium),8.51,21.256
766,2025-06-25,55-Inch TV,Electronics,18.98,9.29,129,72,5,9,True,Road,2117,Mushroom Pkg (Mycelium),9.39,20.09
767,2025-06-21,55-Inch TV,Electronics,17.99,6.87,116,74,4,9,True,Road,2411,Mushroom Pkg (Mycelium),9.0,21.687
768,2025-06-28,55-Inch TV,Electronics,19.7,7.48,128,73,4,10,True,Road,2368,Mushroom Pkg (Mycelium),9.88,23.325
769,2025-11-29,Smart Watch,Electronics,0.18,0.0,5,5,0,5,True,Air,1667,Honeycomb Paper,1.07,0.75
770,2025-01-08,Sofa (Sectional),Furniture,61.27,262.4,200,82,80,8,False,Road,2914,Wood Crate,106.56,382.317
771,2025-01-30,Ceramic Vase,Home Decor,1.53,1.54,15,16,32,10,False,Air,2391,Mushroom Pkg (Mycelium),2.62,9.205
772,2025-04-12,T-Shirt,Clothing,0.29,0.09,22,21,1,1,False,Air,891,Kraft Paper Mailer,0.32,0.646
773,2025-03-14,Ceramic Vase,Home Decor,1.06,1.21,13,15,31,10,False,Air,1859,Mushroom Pkg (Mycelium),2.48,5.623
774,2025-08-02,T-Shirt,Clothing,0.25,0.09,23,20,1,1,False,Air,2774,Kraft Paper Mailer,0.3,1.734
775,2025-07-05,Ceramic Vase,Home Decor,1.19,1.22,14,15,29,10,False,Air,2254,Mushroom Pkg (Mycelium),2.49,6.875
776,2025-12-14,Perfume Bottle,Beauty,0.48,0.04,9,5,4,9,True,Air,855,Mushroom Pkg (Mycelium),1.99,1.026
777,2025-02-16,55-Inch TV,Electronics,21.69,8.44,126,67,5,9,True,Road,1530,Mushroom Pkg (Mycelium),10.48,16.593
778,2025-08-19,Shampoo,Beauty,0.7,0.2,18,7,8,5,True,Road,450,PLA Bioplastic,1.28,0.158
779,2025-11-28,Smart Watch,Electronics,0.18,0.0,4,5,0,5,True,Air,1118,Honeycomb Paper,1.07,0.503
780,2025-03-03,Smartphone,Electronics,0.33,0.02,13,6,1,8,True,Air,1872,Mushroom Pkg (Mycelium),1.73,1.544
781,2025-03-03,Smart Watch,Electronics,0.13,0.0,5,5,0,4,True,Air,1771,Corrugated Cardboard,0.85,0.576
782,2025-01-13,T-Shirt,Clothing,0.29,0.1,25,20,1,1,False,Air,2687,Kraft Paper Mailer,0.32,1.948
783,2025-12-28,Ceramic Vase,Home Decor,2.81,1.44,15,15,32,9,False,Road,324,Mushroom Pkg (Mycelium),2.92,0.455
784,2025-05-06,55-Inch TV,Electronics,19.24,6.09,112,68,4,10,True,Road,2835,Mushroom Pkg (Mycelium),9.7,27.273
785,2025-09-28,55-Inch TV,Electronics,21.45,8.64,120,72,5,9,True,Road,1784,Mushroom Pkg (Mycelium),10.38,19.133
786,2025-12-15,Perfume Bottle,Beauty,0.44,0.04,10,4,5,9,True,Road,470,Mushroom Pkg (Mycelium),1.98,0.103
787,2025-08-06,Smart Watch,Electronics,0.11,0.0,4,5,1,5,True,Air,882,Honeycomb Paper,1.04,0.243
788,2025-02-22,Laptop,Electronics,2.21,0.13,32,21,1,7,True,Road,479,Honeycomb Paper,2.28,0.529
789,2025-09-20,Office Chair,Furniture,13.99,33.81,55,58,53,5,False,Road,462,Wood Crate,14.52,7.81
790,2025-02-10,Smartphone,Electronics,0.23,0.02,14,7,1,7,True,Air,1868,Honeycomb Paper,1.49,1.074
791,2025-04-01,Sneakers,Clothing,1.18,1.13,27,19,11,4,False,Road,170,Kraft Paper Mailer,1.27,0.1
792,2025-10-02,Smart Watch,Electronics,0.15,0.0,4,4,0,6,True,Air,1258,Honeycomb Paper,1.26,0.472
793,2025-04-05,Glass Table,Furniture,15.43,5.27,108,61,4,9,False,Road,1269,Bubble Wrap (LDPE),7.97,9.79
794,2025-12-10,Smart Watch,Electronics,0.11,0.0,4,5,1,5,True,Road,304,Honeycomb Paper,1.04,0.017
795,2025-03-07,55-Inch TV,Electronics,23.9,6.93,110,63,5,10,True,Road,809,Mushroom Pkg (Mycelium),11.56,9.668
796,2025-06-04,Office Chair,Furniture,12.88,33.34,63,54,49,5,False,Road,511,Wood Crate,14.34,8.518
797,2025-01-06,Ceramic Vase,Home Decor,2.11,1.22,15,14,29,9,False,Air,2855,Mushroom Pkg (Mycelium),2.64,15.06
798,2025-06-16,Sofa (Sectional),Furniture,55.12,314.19,206,93,82,6,False,Road,2616,Wood Crate,126.88,410.961
799,2025-05-09,T-Shirt,Clothing,0.15,0.21,27,19,2,2,False,Air,1610,Kraft Paper Mailer,0.48,0.845
800,2025-04-02,Laptop,Electronics,2.35,0.12,32,18,1,9,True,Air,1718,Mushroom Pkg (Mycelium),2.74,10.093
801,2025-09-09,Glass Table,Furniture,18.81,4.37,91,60,4,9,False,Road,1165,Mushroom Pkg (Mycelium),9.32,10.957
802,2025-02-16,Smartphone,Electronics,0.2,0.02,14,7,1,7,True,Road,435,Honeycomb Paper,1.48,0.044
803,2025-01-30,Sofa (Sectional),Furniture,40.92,284.9,202,86,82,6,False,Road,137,Wood Crate,115.16,19.516
804,2025-02-22,Winter Jacket,Clothing,1.32,3.38,47,36,10,4,True,Air,1238,Kraft Paper Mailer,2.15,10.461
805,2025-12-09,Laptop,Electronics,2.44,0.12,29,20,1,7,True,Road,664,Honeycomb Paper,2.38,0.81
806,2025-12-24,Shampoo,Beauty,0.73,0.18,18,7,7,5,True,Air,1656,PLA Bioplastic,1.29,3.022
807,2025-08-13,Perfume Bottle,Beauty,0.23,0.04,10,4,5,8,True,Air,2830,Mushroom Pkg (Mycelium),1.69,1.627
808,2025-02-12,55-Inch TV,Electronics,18.32,7.8,113,69,5,10,True,Road,590,Mushroom Pkg (Mycelium),9.33,5.404
809,2025-05-09,Sofa (Sectional),Furniture,43.53,275.37,193,87,82,8,False,Road,1417,Wood Crate,111.75,195.1
810,2025-05-10,Shampoo,Beauty,0.78,0.18,18,7,7,3,True,Air,864,PLA Bioplastic,0.91,1.685
811,2025-05-06,Smart Watch,Electronics,0.17,0.0,4,5,0,6,True,Air,2906,Honeycomb Paper,1.27,1.235
812,2025-10-11,Winter Jacket,Clothing,1.2,3.35,49,38,9,4,True,Air,1157,Kraft Paper Mailer,2.14,9.69
813,2025-12-01,Sneakers,Clothing,0.92,1.61,32,21,12,3,False,Road,119,Kraft Paper Mailer,1.24,0.096
814,2025-09-02,Ceramic Vase,Home Decor,1.82,1.25,13,15,32,10,False,Air,1146,Mushroom Pkg (Mycelium),2.73,5.214
815,2025-01-28,Sneakers,Clothing,1.14,1.25,30,19,11,3,False,Air,967,Kraft Paper Mailer,1.1,3.022
816,2025-01-25,Winter Jacket,Clothing,1.21,3.38,47,36,10,4,True,Road,542,Kraft Paper Mailer,2.15,0.916
817,2025-01-08,Shampoo,Beauty,0.96,0.2,20,7,7,3,True,Air,1770,PLA Bioplastic,0.98,4.248
818,2025-10-05,Perfume Bottle,Beauty,0.21,0.05,10,5,5,9,True,Air,2049,Mushroom Pkg (Mycelium),1.88,1.076
819,2025-10-25,Smartphone,Electronics,0.39,0.02,13,7,1,9,True,Road,274,Mushroom Pkg (Mycelium),1.96,0.053
820,2025-04-21,Winter Jacket,Clothing,1.72,3.54,48,41,9,4,True,Air,1489,Kraft Paper Mailer,2.22,13.178
821,2025-11-28,T-Shirt,Clothing,0.19,0.09,22,21,1,2,False,Air,1532,Kraft Paper Mailer,0.48,0.728
822,2025-09-22,Glass Table,Furniture,18.86,5.48,107,64,4,10,False,Road,1945,Mushroom Pkg (Mycelium),9.54,18.341
823,2025-03-08,Perfume Bottle,Beauty,0.46,0.04,9,5,4,9,True,Road,693,Mushroom Pkg (Mycelium),1.98,0.159
824,2025-10-10,Sneakers,Clothing,1.06,1.25,27,21,11,5,False,Air,1447,Kraft Paper Mailer,1.5,4.522
825,2025-04-20,Ceramic Vase,Home Decor,2.87,1.22,14,15,29,10,False,Air,2794,Mushroom Pkg (Mycelium),3.15,20.047
826,2025-02-12,Sneakers,Clothing,0.87,1.19,27,20,11,5,False,Air,2433,Kraft Paper Mailer,1.48,7.238
827,2025-08-22,Perfume Bottle,Beauty,0.33,0.04,9,5,4,10,True,Air,1169,Cornstarch Foam,2.13,0.964
828,2025-02-12,Shampoo,Beauty,0.64,0.26,20,8,8,3,True,Road,453,PLA Bioplastic,0.86,0.145
829,2025-02-11,Winter Jacket,Clothing,1.81,3.79,54,39,9,2,True,Air,2274,Kraft Paper Mailer,1.92,21.546
830,2025-03-01,Sofa (Sectional),Furniture,76.89,284.51,197,83,87,7,False,Road,74,Wood Crate,115.2,10.527
831,2025-03-19,55-Inch TV,Electronics,24.95,6.36,112,71,4,9,True,Road,2486,PLA Bioplastic,11.78,31.013
832,2025-10-03,Ceramic Vase,Home Decor,1.05,1.22,15,14,29,9,False,Air,1372,Mushroom Pkg (Mycelium),2.29,4.185
833,2025-01-05,55-Inch TV,Electronics,24.05,8.78,131,67,5,9,True,Road,905,Mushroom Pkg (Mycelium),11.42,10.883
834,2025-12-31,T-Shirt,Clothing,0.16,0.18,23,20,2,2,False,Air,2639,Kraft Paper Mailer,0.47,1.188
835,2025-07-12,Glass Table,Furniture,14.25,6.08,95,64,5,10,False,Road,1388,Mushroom Pkg (Mycelium),7.7,9.889
836,2025-07-16,Smartphone,Electronics,0.31,0.0,16,7,0,6,True,Air,1728,Honeycomb Paper,1.32,1.339
837,2025-02-25,Sneakers,Clothing,1.17,1.23,31,18,11,5,False,Road,220,Kraft Paper Mailer,1.49,0.135
838,2025-07-28,Glass Table,Furniture,14.42,6.45,104,62,5,10,False,Road,921,Mushroom Pkg (Mycelium),7.77,6.64
839,2025-11-09,55-Inch TV,Electronics,18.29,6.28,109,72,4,10,True,Road,263,Mushroom Pkg (Mycelium),9.32,2.405
840,2025-10-07,Winter Jacket,Clothing,1.29,3.6,50,36,10,4,True,Road,275,Kraft Paper Mailer,2.24,0.495
841,2025-04-05,Shampoo,Beauty,0.87,0.19,19,7,7,3,True,Air,2410,PLA Bioplastic,0.95,5.242
842,2025-05-21,Office Chair,Furniture,13.87,32.57,63,55,47,6,False,Road,374,Wood Crate,14.23,6.091
843,2025-12-19,Sneakers,Clothing,1.15,1.46,32,19,12,5,False,Air,802,Kraft Paper Mailer,1.58,2.927
844,2025-04-14,Ceramic Vase,Home Decor,1.87,1.22,15,15,27,9,False,Air,975,Mushroom Pkg (Mycelium),2.55,4.558
845,2025-04-18,Glass Table,Furniture,14.53,5.58,93,60,5,10,False,Road,222,Mushroom Pkg (Mycelium),7.81,1.613
846,2025-06-01,Shampoo,Beauty,0.55,0.18,18,7,7,5,True,Air,1711,PLA Bioplastic,1.22,2.353
847,2025-09-23,Smartphone,Electronics,0.25,0.0,15,7,0,7,True,Air,1043,Honeycomb Paper,1.5,0.652
848,2025-04-15,Smart Watch,Electronics,0.12,0.0,4,5,0,6,True,Air,2307,Honeycomb Paper,1.25,0.692
849,2025-05-21,Perfume Bottle,Beauty,0.33,0.03,9,4,4,10,True,Road,448,Mushroom Pkg (Mycelium),2.13,0.074
850,2025-11-14,Ceramic Vase,Home Decor,1.84,1.3,14,16,29,10,False,Road,717,Styrofoam (EPS),2.74,0.66
851,2025-03-16,T-Shirt,Clothing,0.24,0.17,23,19,2,2,False,Air,2852,Kraft Paper Mailer,0.5,1.711
852,2025-11-19,Office Chair,Furniture,14.52,37.09,64,63,46,5,False,Road,1394,Wood Crate,15.84,25.852
853,2025-09-15,Smart Watch,Electronics,0.12,0.0,4,4,0,5,True,Air,2874,Honeycomb Paper,1.05,0.862
854,2025-01-21,Smartphone,Electronics,0.37,0.02,14,6,1,6,True,Air,2121,Honeycomb Paper,1.35,1.962
855,2025-10-08,Laptop,Electronics,2.38,0.1,28,18,1,8,True,Air,2815,Mushroom Pkg (Mycelium),2.55,16.749
856,2025-03-13,Ceramic Vase,Home Decor,2.56,1.3,16,14,29,9,False,Air,2620,Mushroom Pkg (Mycelium),2.82,16.768
857,2025-09-17,T-Shirt,Clothing,0.26,0.09,24,18,1,1,False,Air,1452,Kraft Paper Mailer,0.3,0.944
858,2025-04-16,Laptop,Electronics,2.46,0.11,30,19,1,7,True,Air,918,Honeycomb Paper,2.38,5.646
859,2025-08-24,Office Chair,Furniture,12.3,37.94,60,62,51,4,False,Road,919,Wood Crate,15.98,17.433
860,2025-07-09,Laptop,Electronics,2.29,0.26,32,20,2,9,True,Air,2525,Mushroom Pkg (Mycelium),2.72,14.456
861,2025-12-30,Laptop,Electronics,1.98,0.13,32,21,1,8,True,Road,132,Mushroom Pkg (Mycelium),2.39,0.131
862,2025-05-13,Laptop,Electronics,2.03,0.13,30,21,1,9,True,Road,61,Mushroom Pkg (Mycelium),2.61,0.062
863,2025-06-27,Sneakers,Clothing,0.98,1.39,30,21,11,3,False,Air,2227,Wood Crate,1.16,7.739
864,2025-09-20,Sofa (Sectional),Furniture,74.45,319.68,218,94,78,7,False,Road,1270,Wood Crate,129.27,202.997
865,2025-10-18,Winter Jacket,Clothing,1.88,3.33,45,37,10,3,True,Air,1752,Kraft Paper Mailer,1.93,14.585
866,2025-07-10,Winter Jacket,Clothing,1.23,3.4,51,37,9,4,True,Air,2348,Recycled PET Box,2.16,19.958
867,2025-02-17,Shampoo,Beauty,0.62,0.2,20,7,7,4,True,Road,698,PLA Bioplastic,1.05,0.216
868,2025-10-26,Perfume Bottle,Beauty,0.3,0.03,10,4,4,10,True,Air,1784,Mushroom Pkg (Mycelium),2.12,1.338
869,2025-01-14,Perfume Bottle,Beauty,0.3,0.03,9,4,4,10,True,Air,819,Mushroom Pkg (Mycelium),2.12,0.614
870,2025-04-07,Ceramic Vase,Home Decor,2.03,1.09,13,14,30,9,False,Air,1964,Mushroom Pkg (Mycelium),2.61,9.967
871,2025-08-08,Ceramic Vase,Home Decor,1.48,1.25,13,15,32,10,False,Road,233,Mushroom Pkg (Mycelium),2.59,0.172
872,2025-10-13,Glass Table,Furniture,17.63,4.74,94,63,4,9,False,Road,778,Mushroom Pkg (Mycelium),8.85,6.858
873,2025-05-25,Sneakers,Clothing,1.05,1.2,30,20,10,3,False,Air,2253,Kraft Paper Mailer,1.08,6.759
874,2025-03-26,55-Inch TV,Electronics,20.86,7.1,111,64,5,9,True,Road,2140,Mushroom Pkg (Mycelium),10.14,22.32
875,2025-08-04,Glass Table,Furniture,16.29,6.12,102,60,5,9,False,Road,1312,Mushroom Pkg (Mycelium),8.32,10.686
876,2025-07-10,Perfume Bottle,Beauty,0.26,0.05,10,5,5,9,True,Road,122,Mushroom Pkg (Mycelium),1.9,0.016
877,2025-03-05,Laptop,Electronics,1.78,0.27,32,21,2,8,True,Air,965,Mushroom Pkg (Mycelium),2.31,4.294
878,2025-06-19,Glass Table,Furniture,12.42,5.49,98,56,5,10,False,Road,2983,Mushroom Pkg (Mycelium),6.97,18.524
879,2025-04-04,T-Shirt,Clothing,0.2,0.2,24,21,2,2,False,Air,2412,Kraft Paper Mailer,0.48,1.206
880,2025-05-06,T-Shirt,Clothing,0.22,0.1,25,21,1,2,False,Road,749,Kraft Paper Mailer,0.49,0.082
881,2025-02-27,Sneakers,Clothing,1.01,1.19,30,18,11,5,False,Air,1993,Kraft Paper Mailer,1.48,5.929
882,2025-09-12,T-Shirt,Clothing,0.23,0.09,26,18,1,2,False,Air,1100,Kraft Paper Mailer,0.49,0.633
883,2025-02-25,Sofa (Sectional),Furniture,46.34,273.72,216,88,72,6,False,Road,678,Wood Crate,110.69,92.791
884,2025-05-28,Ceramic Vase,Home Decor,1.14,1.22,14,14,31,10,False,Road,409,Mushroom Pkg (Mycelium),2.49,0.249
885,2025-01-12,Perfume Bottle,Beauty,0.36,0.03,10,4,4,10,True,Air,1338,Mushroom Pkg (Mycelium),2.14,1.204
886,2025-04-24,Office Chair,Furniture,12.48,35.9,64,55,51,6,False,Road,1640,Wood Crate,15.56,29.438
887,2025-04-17,Shampoo,Beauty,0.69,0.2,18,7,8,5,True,Air,1158,PLA Bioplastic,1.28,1.998
888,2025-08-01,Office Chair,Furniture,13.85,32.46,63,56,46,6,False,Road,284,Wood Crate,14.18,4.609
889,2025-12-05,Laptop,Electronics,2.21,0.2,28,18,2,8,True,Road,785,Mushroom Pkg (Mycelium),2.48,0.867
890,2025-08-13,Smart Watch,Electronics,0.13,0.0,5,4,0,6,True,Air,1792,Honeycomb Paper,1.25,0.582
891,2025-04-04,Office Chair,Furniture,14.81,39.78,65,60,51,4,False,Road,812,Wood Crate,16.71,16.151
892,2025-07-03,Winter Jacket,Clothing,1.64,3.99,54,41,9,4,True,Air,2662,Kraft Paper Mailer,2.4,26.553
893,2025-09-29,Glass Table,Furniture,13.52,5.56,103,54,5,9,False,Road,2707,Mushroom Pkg (Mycelium),7.21,18.299
894,2025-10-03,Smartphone,Electronics,0.31,0.0,15,7,0,7,True,Air,2223,Honeycomb Paper,1.52,1.723
895,2025-12-07,Sneakers,Clothing,1.0,1.36,27,21,12,5,False,Road,294,Kraft Paper Mailer,1.54,0.2
896,2025-05-20,Glass Table,Furniture,16.52,4.42,92,60,4,10,False,Road,539,Mushroom Pkg (Mycelium),8.61,4.452
897,2025-03-14,Shampoo,Beauty,0.62,0.18,18,7,7,3,True,Air,1643,PLA Bioplastic,0.85,2.547
898,2025-07-26,Perfume Bottle,Beauty,0.32,0.05,10,5,5,10,True,Air,1589,Mushroom Pkg (Mycelium),2.13,1.271
899,2025-06-15,Sofa (Sectional),Furniture,61.29,284.91,207,93,74,5,False,Road,222,Wood Crate,114.96,31.625
900,2025-07-30,Winter Jacket,Clothing,1.56,4.13,53,39,10,3,True,Air,2102,Kraft Paper Mailer,2.25,21.703
901,2025-01-12,Glass Table,Furniture,15.61,4.69,93,63,4,10,False,Road,2582,Mushroom Pkg (Mycelium),8.24,20.153
902,2025-08-20,Perfume Bottle,Beauty,0.42,0.04,9,4,5,8,True,Road,232,Mushroom Pkg (Mycelium),1.77,0.049
903,2025-09-15,Winter Jacket,Clothing,1.73,3.49,51,38,9,4,True,Road,635,Kraft Paper Mailer,2.2,1.108
904,2025-02-20,Laptop,Electronics,2.27,0.12,29,21,1,7,True,Road,105,Honeycomb Paper,2.31,0.119
905,2025-02-04,Ceramic Vase,Home Decor,2.41,1.22,15,14,29,10,False,Air,973,Mushroom Pkg (Mycelium),2.96,5.862
906,2025-01-10,Glass Table,Furniture,19.49,4.7,103,57,4,9,False,Road,2297,Mushroom Pkg (Mycelium),9.6,22.384
907,2025-04-23,Glass Table,Furniture,16.28,5.17,94,55,5,9,False,Road,1079,Mushroom Pkg (Mycelium),8.31,8.783
908,2025-12-24,55-Inch TV,Electronics,18.9,6.96,116,75,4,9,True,Road,2658,Mushroom Pkg (Mycelium),9.36,25.118
909,2025-06-29,Smart Watch,Electronics,0.19,0.0,4,5,0,4,True,Air,2968,Corrugated Cardboard,0.88,1.41
910,2025-03-29,Sofa (Sectional),Furniture,53.4,296.06,215,81,85,6,False,Road,1012,Wood Crate,119.62,149.806
911,2025-02-16,Sneakers,Clothing,0.81,1.23,31,18,11,4,False,Road,131,Kraft Paper Mailer,1.29,0.081
912,2025-07-09,Perfume Bottle,Beauty,0.32,0.04,9,5,5,10,True,Air,1350,Mushroom Pkg (Mycelium),2.13,1.08
913,2025-06-17,Shampoo,Beauty,0.87,0.24,21,8,7,4,True,Road,391,PLA Bioplastic,1.15,0.17
914,2025-01-17,55-Inch TV,Electronics,22.58,6.0,119,63,4,9,True,Road,2596,Mushroom Pkg (Mycelium),10.83,29.309
915,2025-10-30,Smartphone,Electronics,0.4,0.02,13,6,1,9,True,Air,2572,Mushroom Pkg (Mycelium),1.96,2.572
916,2025-03-08,Sneakers,Clothing,1.04,1.11,28,18,11,5,False,Road,631,Kraft Paper Mailer,1.44,0.35
917,2025-12-03,55-Inch TV,Electronics,15.68,8.57,126,68,5,10,True,Road,1174,Mushroom Pkg (Mycelium),8.27,9.204
918,2025-07-16,Perfume Bottle,Beauty,0.32,0.04,10,4,5,9,True,Air,2857,Mushroom Pkg (Mycelium),1.93,2.286
919,2025-09-16,Perfume Bottle,Beauty,0.49,0.03,10,4,4,8,True,Air,2508,Mushroom Pkg (Mycelium),1.8,3.072
920,2025-03-13,Smartphone,Electronics,0.39,0.0,13,7,0,9,True,Road,154,Mushroom Pkg (Mycelium),1.96,0.03
921,2025-07-14,Laptop,Electronics,2.18,0.22,29,19,2,8,True,Air,1293,Mushroom Pkg (Mycelium),2.47,7.047
922,2025-01-11,Glass Table,Furniture,13.18,4.49,92,61,4,10,False,Road,1476,Mushroom Pkg (Mycelium),7.27,9.727
923,2025-10-16,55-Inch TV,Electronics,21.1,7.87,123,64,5,9,True,Road,2393,Mushroom Pkg (Mycelium),10.24,25.246
924,2025-11-02,Smart Watch,Electronics,0.12,0.01,5,5,1,5,True,Air,1196,Honeycomb Paper,1.05,0.359
925,2025-09-27,55-Inch TV,Electronics,17.15,9.5,125,76,5,9,True,Road,1225,Mushroom Pkg (Mycelium),8.66,10.504
926,2025-12-03,Shampoo,Beauty,0.81,0.22,20,8,7,3,True,Air,2560,PLA Bioplastic,0.92,5.184
927,2025-12-31,Laptop,Electronics,2.41,0.23,30,19,2,9,True,Air,2498,Mushroom Pkg (Mycelium),2.76,15.05
928,2025-10-03,Smartphone,Electronics,0.33,0.0,16,6,0,9,True,Air,1710,Styrofoam (EPS),1.93,1.411
929,2025-10-29,Sneakers,Clothing,1.2,1.61,32,21,12,3,False,Air,1454,Kraft Paper Mailer,1.24,5.852
930,2025-08-26,Office Chair,Furniture,11.57,36.89,61,56,54,6,False,Road,1608,Wood Crate,15.96,29.66
931,2025-08-02,Shampoo,Beauty,0.62,0.18,18,7,7,4,True,Air,2288,PLA Bioplastic,1.05,3.546
932,2025-10-12,Ceramic Vase,Home Decor,1.97,1.34,14,15,32,9,False,Road,750,Mushroom Pkg (Mycelium),2.59,0.739
933,2025-03-17,Office Chair,Furniture,14.92,38.06,57,63,53,4,False,Road,1103,Wood Crate,16.02,20.99
934,2025-06-05,T-Shirt,Clothing,0.16,0.11,27,21,1,1,False,Air,1782,Bubble Wrap (LDPE),0.26,0.713
935,2025-11-19,Ceramic Vase,Home Decor,2.59,1.13,15,14,27,10,False,Air,2006,Mushroom Pkg (Mycelium),3.04,12.989
936,2025-02-16,Glass Table,Furniture,15.94,4.73,91,65,4,9,False,Road,774,Mushroom Pkg (Mycelium),8.18,6.169
937,2025-07-28,Ceramic Vase,Home Decor,1.59,1.34,16,15,28,10,False,Road,564,Kraft Paper Mailer,2.64,0.448
